libcmis 0.5.1-8
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-1
libcue 2.2.0-1
libcups 2.2.6-4
libcurl-compat 7.58.0-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk3 16.04.0-2
libdc1394 2.2.5-1
libdca 0.0.5-5
libdiscid 0.6.2-1
libdmx 1.1.3-1
libdrm 2.4.89-1
libdv 1.0.0-7
libdvbpsi 1:1.3.1-1
libdvdcss 1.4.1-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-1
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libetonyek 0.1.7-1
libev 4.24-1
libevdev 1.5.8-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfm 1.2.5-2
libfm-extra 1.2.5-2
libfm-gtk2 1.2.5-2
libfontenc 1.1.3-1
libfreehand 0.1.2-1
libgadu 1.12.2-5
libgcrypt 1.8.2-1
libgdiplus 5.6-1
libgksu 2.0.12-8
libglade 2.6.4-5
libglvnd 1.0.0-1
libgme 0.6.1-1
libgnome-keyring 3.12.0-2
libgpg-error 1.27-1
libgphoto2 2.5.16-1
libgsf 1.14.42-1
libgtop 2.38.0+1+g487e584a-2
libgudev 232-1
libguess 1.2-1
libgusb 0.2.11-1
libical 3.0.1-1
libice 1.0.9-2
libid3tag 0.15.1b-8
libidl2 0.8.14-4
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0+66+g5a85432-1
libindicator-gtk3 12.10.1-7
libinput 1.10.0-1
libisofs 1.4.8-1
libjpeg-turbo 1.5.3-1
libkate 0.4.1-5
libkeybinder3 0.3.2-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.45-4
liblouis 3.4.0-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.22-1
libmatroska 1.4.8-1
libmbim 1.16.0-1
libmm-glib 1.8rc1+6+g0f377f94-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-3
libmpdclient 2.14-1
libmpeg2 0.5.1-5
libmspub 0.1.3-1
libmtp 1.1.14-1
libmwaw 0.3.13-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnfs 2.0.0-1
libnftnl 1.0.9-1
libnghttp2 1.29.0-1
libnice 0.1.14-1
libnl 3.4.0-1
libnm 1.10.5dev+3+g5159c34ea-1
libnm-glib 1.10.5dev+3+g5159c34ea-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libofa 0.9.3-7
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libopenraw 0.1.2-1
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.19.1-1
libpulse 11.1-1
libpurple 2.12.0-4
libqmi 1.20.0-1
libraqm 0.4.0-1
libraw1394 2.1.2-1
libreoffice-still 5.4.5-1
librevenge 0.0.4-1
librsvg 2:2.42.2-1
libsamplerate 0.1.9-1
libsasl 2.1.26-12
libseccomp 2.3.2-2
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.60.3-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:2.1.0-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.5-1
libstemmer 0+337-2
libsynctex 2017.44590-10
libsystemd 237.31-1
libtar 1.2.20-3
libtasn1 4.13-1
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-1
libtiger 0.3.4-4
libtirpc 1.0.2-3
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-4
libtorrent-rasterbar 1:1.1.6-1
libunique 1.1.6-6
libunique3 3.0.2-7
libunistring 0.9.8-1
libunwind 1.2.1-1
libupnp 1.6.24-2
liburcu 0.10.1-1
libusb 1.0.21-2
libusbmuxd 1.0.10+13+gc724e70-1
libutil-linux 2.31.1-1
libuv 1.19.1-1
libva 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-2
libvisual 0.4.0-7
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.7.0-1
libwacom 0.27-1
libwbclient 4.7.4-1
libwebp 0.6.1-1
libwmf 0.2.8.4-14
libwnck 2.31.0-1
libwnck3 3.24.1-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.8-1
libx11 1.6.5-1
libx264 2:152.20171224-1
libx264-all 2:152.20171224-1
libx86emu 1.12-1
libxau 1.0.8-3
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-2
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86misc 1.0.3-2
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.2-2
licenses 20171006-1
light-locker 1.8.0-1
lightdm 1:1.24.0-3
lightdm-gtk-greeter 1:2.0.3-1
linux-api-headers 4.14.8-1
linux-firmware 20180119.2a713be-2
linux414 4.14.20-2
linux414-bbswitch 0.8-18
lldb 5.0.1-2
llvm-libs 5.0.1-2
lm_sensors 3.4.0-2
logrotate 3.13.0-1
lpsolve 5.5.2.5-2
lsb-release 1.4-12
lttng-ust 2.10.0-11
lua 5.3.4-2
lvm2 2.02.177-1
lxappearance 0.6.3-1
lxmenu-data 0.1.5-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.1-1
man-pages 4.15-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20180220-1
manjaro-documentation-en 20171227-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.11-1
manjaro-hotfixes 2015.12-3
manjaro-keyring 20171027-1
manjaro-pulse 2012.11-1
manjaro-release 17.1.5-1
manjaro-settings-manager 0.5.4-9
manjaro-settings-manager-notifier 0.5.4-9
manjaro-sx-icons 20170719-1
manjaro-sx-wallpapers 20171023-1
manjaro-system 20180107-2
manjaro-wallpapers-17.0 1.3-1
mdadm 4.0-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
menulibre 2.1.5-1
mesa 17.3.5-0
mesa-demos 8.3.0-4
mhwd 0.6.1-2
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.1-1
mhwd-nvidia 1:384.111-2
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.106-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26-6
mobile-broadband-provider-info 20170310-1
modemmanager 1.8rc1+6+g0f377f94-1
mono 5.4.1.7-2
mono-addins 1.1-1
mozilla-common 1.4-4
mpd 0.20.17-1
mpfr 4.0.0-1
mpg123 1.25.8-1
ms-office-online 18.01.0-1
mtdev 1.1.5-1
mtpfs 1.1-2
mugshot 0.3.2-2
nano 2.9.3-1
ncmpc 0.29-2
ncmpcpp 0.8.1-3
ncurses 6.0+20170902-3
neofetch 3.3.0-1
neon 0.30.2-2
net-snmp 5.7.3-7
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.5dev+3+g5159c34ea-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.1dev+10+ge4d8cda-2
networkmanager-pptp 1.2.4-3
networkmanager-vpnc 1.2.4-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
nodejs 9.5.0-1
npm 5.6.0-1
npth 1.5-1
nspr 4.18-1
nss 3.35-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntfs-config 1.0.1-1
ntp 4.2.8.p10-2
nuget 2.14-2
numlockx 1.2-3
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-2
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
openvpn 2.4.4-1
opus 1.2.1-1
orbit2 2.14.19-3
orc 0.4.28-1
os-prober 1.76-1
ostree 2018.1-1
p11-kit 0.23.9-1
p7zip 16.02-4
package-query 1.9-1
pacman 5.0.2-2
pacman-mirrors 4.7.5-1
pam 1.3.0-1
pamac 6.2.4-1
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.6-1
patchutils 0.3.4-2
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.5.6-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.23-1
perl 5.26.1-2
perl-clone 0.39-4
perl-dbi 1.640-1
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-file-desktopentry 0.22-3
perl-file-mimeinfo 0.28-3
perl-ipc-system-simple 1.25-3
perl-parse-yapp 1.05-8
perl-uri 1.73-1
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-6
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
pinentry 1.1.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+34+g29ba7af-1.1
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20180107-1
poppler 0.61.1-1
poppler-data 0.4.8-1
poppler-glib 0.61.1-1
poppler-qt5 0.61.1-1
popt 1.16-9
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.10.0-1
primus 20151110-7
procps-ng 3.3.12-2.1
protobuf 3.5.1.1-1
protobuf-c 1.3.0-2
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 11.1-1
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10-2
python 3.6.4-2
python-appdirs 1.4.3-1
python-beaker 1.8.1-2
python-cairo 1.16.2-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-distutils-extra 2.39-2
python-docopt 0.6.2-4
python-ewmh 0.1.6-1
python-gobject 3.26.1-1
python-jade-application-kit 0.a34-1
python-keyutils 0.5-1
python-mako 1.0.7-1
python-markupsafe 1.0-1
python-npyscreen 4.10.5-1
python-packaging 16.8-2
python-pexpect 4.3.1-1
python-pillow 5.0.0-1
python-pip 9.0.1-3
python-psutil 5.4.3-1
python-ptyprocess 0.5.2-1
python-pyparsing 2.2.0-1
python-pyqt5 5.10-2
python-reportlab 3.4.0-1
python-setproctitle 1.1.10-2
python-setuptools 1:38.5.1-1
python-sip 4.19.7-1
python-six 1.11.0-1
python-wheel 0.30.0-1
python-xdg 0.25-4
python-xlib 0.21-1
python-yaml 3.12-3
python2 2.7.14-2
python2-appdirs 1.4.3-1
python2-asn1crypto 0.24.0-1
python2-attrs 17.4.0-1
python2-automat 0.6.0-1
python2-cairo 1.16.2-1
python2-cffi 1.11.4-1
python2-chardet 3.0.4-1
python2-click 6.7-1
python2-constantly 15.1.0-2
python2-cryptography 2.1.4-1
python2-enum34 1.1.6-1
python2-gobject2 2.28.7-1
python2-hyperlink 17.3.1-1
python2-idna 2.6-1
python2-incremental 17.5.0-1
python2-ipaddress 1.0.19-1
python2-packaging 16.8-2
python2-ply 3.10-1
python2-pycparser 2.18-1
python2-pyopenssl 17.5.0-1
python2-pyparsing 2.2.0-1
python2-setuptools 1:38.5.1-1
python2-six 1.11.0-1
python2-twisted 17.9.0-1
python2-xdg 0.25-4
python2-zope-interface 4.4.3-1
qpdf 7.1.1-1
qpdfview 0.4.17beta1-5
qrencode 4.0.0-1
qt5-base 5.10.0-4
qt5-styleplugins 5.0.0.20170311-4
qt5-svg 5.10.0-1
qt5-x11extras 5.10.0-1
qt5ct 0.34-2
raptor 2.0.15-7
rasqal 1:0.9.33-2
re2 20180201-1
readline 7.0.003-1
redland 1:1.0.17-4
referenceassemblies-pcl 4.6-1
